19-10-2023 12:21:25.542 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 16628 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 16:23:06.043 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.registerDrone - Drone successfully registered: 
19-10-2023 16:23:27.244 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.checkAvailableDrones - Checking all available Drones ...
19-10-2023 16:26:33.170 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 15356 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 16:26:33.177 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 16:26:38.876 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.467 seconds (process running for 7.588)
19-10-2023 16:28:24.779 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - Checking the battery capacity ...
19-10-2023 16:28:24.919 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - New Drone successfully registered
19-10-2023 16:28:24.919 [http-nio-8080-exec-2] INFO  c.e.demo.controller.DroneController.registerDrone - Drone successfully registered: 
19-10-2023 16:28:30.461 [http-nio-8080-exec-3] INFO  c.e.demo.service.DroneServiceImpl.checkAvailableDrones - Checking all available Drones ...
19-10-2023 16:30:27.028 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 4752 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 16:30:27.035 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 16:30:33.440 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 7.321 seconds (process running for 12.481)
19-10-2023 17:10:39.580 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 2796 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 17:10:39.587 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 17:10:47.043 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 8.187 seconds (process running for 17.11)
19-10-2023 17:11:48.250 [http-nio-8080-exec-1] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - Checking the battery capacity ...
19-10-2023 17:13:03.455 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 11524 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 17:13:03.463 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 17:13:09.381 [main] INFO  c.example.demo.DronesTechApplication.logStarted - Started DronesTechApplication in 6.657 seconds (process running for 7.729)
19-10-2023 17:13:14.436 [http-nio-8080-exec-2] INFO  c.e.demo.service.DroneServiceImpl.registerDrones - Checking the battery capacity ...
19-10-2023 17:14:54.773 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 20100 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
19-10-2023 17:14:54.781 [main] INFO  c.example.demo.DronesTechApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
19-10-2023 17:16:27.638 [main] INFO  c.example.demo.DronesTechApplication.logStarting - Starting DronesTechApplication using Java 17.0.5 with PID 16656 (C:\Users\User\eclipse-workspace\DronesTech\target\classes started by User in C:\Users\User\eclipse-workspace\DronesTech)
